,question,allennlp_entities,extracted_entities,image_urls
0,How does the Moon affect the tides?,"['the tides', 'the Moon']","[['Oceans', 'Oceans', 'Oceans', 'Oceans', 'Darwinism'], ['Moon', 'Moon', 'Moon', 'Moon', 'Moon']]","[['https://upload.wikimedia.org/wikipedia/commons/e/e0/Clouds_over_the_Atlantic_Ocean.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ef/Ocean_beach_at_low_tide_against_the_sun.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2c/Greenland_Sea_at_night_%28js%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/be/HOME_OF_SEA_BIRDS_-_NARA_-_520176.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/cc/Darwin_Australia_aerial_photo_1984.JPEG'], ['https://upload.wikimedia.org/wikipedia/commons/b/b2/The_Bangkok_Supermoon_Photographs_by_Peak_Hora_10.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/67/Moon_apollo12.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/55/The_sun_and_the_moon_in_South_New_Brighton%27s_beach%2C_New_Zealand.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/df/Full_moon_partially_obscured_by_atmosphere.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/81/Earth%2C_Moon_and_Lunar_Module%2C_AS11-44-6643.jpg']]"
0,What is the difference between a chemical change and a physical change?,"['a physical change', 'a chemical change and a physical change', 'a chemical change', 'the difference between a chemical change and a physical change', 'the difference']","[['Physical change', 'Physical change'], ['Physical change', 'Physical change'], ['Chemical', 'Chemical'], ['Physical change', 'Physical change'], ['Confusion', 'Confusion']]","[['https://upload.wikimedia.org/wikipedia/commons/4/49/Physical_Drivers_of_climate_change-ar.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/68/Insufficient_physical_activity.png'], ['https://upload.wikimedia.org/wikipedia/commons/4/49/Physical_Drivers_of_climate_change-ar.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/68/Insufficient_physical_activity.png'], ['https://upload.wikimedia.org/wikipedia/commons/2/2f/1V-LSD_Chemical_Structure.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/cd/Shelf_of_Labeled_Bottles.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/4/49/Physical_Drivers_of_climate_change-ar.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/68/Insufficient_physical_activity.png'], ['https://upload.wikimedia.org/wikipedia/commons/b/b5/Noun_confusion_2900892.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7b/Noun_confusion_Delwar_781825.svg']]"
0,How do plants get nutrients from the soil?,"['plants', 'the soil', 'nutrients']","[['Plants', 'Plants', 'Plants'], ['Soil', 'Soil', 'Baking industry'], ['Nutrients', 'Nutrients', 'Nutrients']]","[['https://upload.wikimedia.org/wikipedia/commons/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png', 'https://upload.wikimedia.org/wikipedia/commons/d/d1/Plants_in_an_apartment.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d1/Ranakalli_plant.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/6/61/Soil_Survey_of_Brookings_Area%2C_South_Dakota_-_DPLA_-_71b9ff9eb8edd2ee16cbb6df3da8d989_%28page_20%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f5/Antigo_%28soil%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3a/Fez%2C_Morocco-_Bread.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/7/78/COMMON_NUTRIENTS_LACKING_IN_MEAT-01.png', 'https://upload.wikimedia.org/wikipedia/commons/8/8c/Soil_nutrient_budget.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/39/Cycling_of_nutrients_by_an_individual_krill.webp']]"
0,What is the role of microorganisms in the environment?,"['the role of microorganisms in the environment', 'the role', 'microorganisms', 'the environment']","[['Bacteria', 'Bacteria'], ['Purposes', 'Purposes'], ['Bacteria', 'Bacteria'], ['Environmental management', 'Environmental management']]","[['https://upload.wikimedia.org/wikipedia/commons/5/52/Citrobacter_freundii.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/91/Symbiotic_nitrogen_fixing_bacteria_inside_legume_root_nodule_cells.tif'], ['https://upload.wikimedia.org/wikipedia/commons/4/47/Deletion_intention_card.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/3a/Talk_intention_card.svg'], ['https://upload.wikimedia.org/wikipedia/commons/5/52/Citrobacter_freundii.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/91/Symbiotic_nitrogen_fixing_bacteria_inside_legume_root_nodule_cells.tif'], ['https://upload.wikimedia.org/wikipedia/commons/5/55/RI-DEM_LOGO.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/14/UIS_Einteilung.png']]"
0,How do different surfaces affect the reflection of light?,"['light', 'different surfaces', 'the reflection', 'the reflection of light']","[['light', 'light'], ['White surface', 'White surface'], ['Laws of reflection', 'Laws of reflection'], ['Reflection of light', 'Reflection of light']]","[['https://upload.wikimedia.org/wikipedia/commons/1/1a/Ray_of_Light_Capture_d.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/05/Light_spectrum_on_a_wall_caused_by_sunlight_going_through_prism_and_then_handmade_glass.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/3/3a/White_and_Grey_Surface.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Infrared_microphotography_of_the_surface_structure_of_white_nephrite.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/2/27/Law-of-reflection-3d_DE.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/be/Law-of-reflection-for-curved-surfaces.svg'], ['https://upload.wikimedia.org/wikipedia/commons/b/ba/Reflection_of_trees_in_a_pond_16-9%2C_The_Groynes%2C_Christchurch%2C_New_Zealand.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9f/Reflection_of_Diwali_light.jpg']]"
0,What is the process of evaporation and condensation?,"['the process', 'evaporation and condensation', 'the process of evaporation and condensation']","[['Systematic process', 'Systematic process', 'Systematic process'], ['Evaporation', 'Evaporation', 'Evaporation'], ['Evaporation', 'Evaporation', 'Evaporation']]","[['https://upload.wikimedia.org/wikipedia/commons/c/ce/Flowchart_of_systematic_search_and_selection_process_for_an_umbrella_review_about_sugar_and_health.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/53/Comparative_zoology%2C_structural_and_systematic_-_for_use_in_schools_and_colleges_%281883%29_%2820677673251%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ed/Comparative_zoology%2C_structural_and_systematic_-_for_use_in_schools_and_colleges_%281883%29_%2820677770481%29.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/c/cd/Electron-beam_evaporator.png', 'https://upload.wikimedia.org/wikipedia/commons/3/39/Salt_evaporation_ponds%2C_Swakopmund.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ee/Evaporation_pan_accessories.jpeg'], ['https://upload.wikimedia.org/wikipedia/commons/c/cd/Electron-beam_evaporator.png', 'https://upload.wikimedia.org/wikipedia/commons/3/39/Salt_evaporation_ponds%2C_Swakopmund.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ee/Evaporation_pan_accessories.jpeg']]"
0,What are the functions of the different parts of a flower?,"['the functions of the different parts of a flower', 'a flower', 'the different parts of a flower', 'the different parts', 'the functions']","[['Flower', 'Flower'], ['Flower', 'Flower'], ['Flower', 'Flower'], ['Electronic components', 'Electronic components'], ['Functional groups', 'Functional groups']]","[['https://upload.wikimedia.org/wikipedia/commons/3/31/Bl%C3%BCten_1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8b/Flower-flyOnFlower2.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/3/31/Bl%C3%BCten_1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8b/Flower-flyOnFlower2.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/3/31/Bl%C3%BCten_1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8b/Flower-flyOnFlower2.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/b/b0/Electronics_components_%288367300286%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1a/Electronics_components_%288267017346%29.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/e/e0/Phosphonato_group.png', 'https://upload.wikimedia.org/wikipedia/commons/a/a6/Phosphate_group.png']]"
0,What is the concept of sound intensity and its effects?,"['the concept', 'its effects', 'the concept of sound intensity and its effects', 'sound intensity']","[['Iron hydroxide', 'Theories'], ['Physiological effects', 'Physiological effects'], ['Sound energy', 'Sound energy'], ['Sound energy', 'Sound energy']]","[['https://upload.wikimedia.org/wikipedia/commons/8/8f/Iron_oxide_brown.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/ff/Mr_Pipo_Brain_03.svg'], ['https://upload.wikimedia.org/wikipedia/commons/2/21/Physiological_effects_of_carbon_dioxide_concentration_and_exposure_period.png', 'https://upload.wikimedia.org/wikipedia/commons/c/c8/Physiology-_a_manual_of_1000_questions_and_answers_systematically_arranged%2C_containing_a_full_treatment_of_the_physiological_effects_of_alcohol_and_narcotics_%281888%29_%2814784662513%29.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/1/16/2009_Puget_Sound_Energy_logo.png', 'https://upload.wikimedia.org/wikipedia/commons/9/95/Puget_Sound_Energy_buildings%28cropped%29%2C_Aerial_Bellevue_Washington_November_2011.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/1/16/2009_Puget_Sound_Energy_logo.png', 'https://upload.wikimedia.org/wikipedia/commons/9/95/Puget_Sound_Energy_buildings%28cropped%29%2C_Aerial_Bellevue_Washington_November_2011.jpg']]"
0,How do animals hibernate?,['animals'],"[['Animals', 'Animals', 'Animals', 'Animals', 'Animals', 'Animals', 'Animals', 'Animals', 'Animals', 'Animals']]","[['https://upload.wikimedia.org/wikipedia/commons/c/ce/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_33%29_BHL2458980.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e4/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_28%29_BHL2459063.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e7/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_23%29_BHL2459045.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_32%29_BHL2458986.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_31%29_BHL2459055.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d5/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_32%29_BHL2458988.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a7/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_24%29_BHL2459081.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ac/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_21%29_BHL2459035.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/75/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_25%29_BHL2459077.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7b/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_41%29_BHL2459150.jpg']]"
0,"What are the differences between herbivores, carnivores, and omnivores?","['herbivores', 'omnivores', 'the differences', 'carnivores', 'the differences between herbivores , carnivores , and omnivores', 'herbivores , carnivores , and omnivores']","[['Herbivores'], ['Carnivores'], ['Confusion'], ['Carnivores'], ['Carnivores'], ['Carnivores']]","[['https://upload.wikimedia.org/wikipedia/commons/2/2c/Herbivores_%28band%29_04.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/d/d7/Stud_327_with_Blesbuck.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/b/b5/Noun_confusion_2900892.svg'], ['https://upload.wikimedia.org/wikipedia/commons/d/d7/Stud_327_with_Blesbuck.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/d/d7/Stud_327_with_Blesbuck.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/d/d7/Stud_327_with_Blesbuck.jpg']]"
0,What are the functions of the different types of teeth?,"['the different types of teeth', 'teeth', 'the different types', 'the functions', 'the functions of the different types of teeth']","[['Tigers', 'Mouths'], ['Tigers', 'Mouths'], ['Classification', 'Classification'], ['Functional groups', 'Functional groups'], ['Australian Plate', 'Human mouth']]","[['https://upload.wikimedia.org/wikipedia/commons/8/84/Panthera_tigris_virgata.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ad/River_mouth_Sarcelle_river.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/8/84/Panthera_tigris_virgata.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ad/River_mouth_Sarcelle_river.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/3/32/K%C3%B6ppen-Geiger_Climate_Classification_Map_%281980%E2%80%932016%29_no_borders.png', 'https://upload.wikimedia.org/wikipedia/commons/d/d5/K%C3%B6ppen-Geiger_Climate_Classification_Map.png'], ['https://upload.wikimedia.org/wikipedia/commons/e/e0/Phosphonato_group.png', 'https://upload.wikimedia.org/wikipedia/commons/a/a6/Phosphate_group.png'], ['https://upload.wikimedia.org/wikipedia/commons/c/cd/Placa_Australiana.png', 'https://upload.wikimedia.org/wikipedia/commons/c/c9/Adult_human_mouth_%28modified%29.jpg']]"
0,What are the different types of simple machines?,"['the different types', 'the different types of simple machines', 'simple machines']","[['Classification', 'Classification', 'Classification'], ['Short circuits', 'Short circuits', 'Short circuits'], ['Short circuits', 'Short circuits', 'Short circuits']]","[['https://upload.wikimedia.org/wikipedia/commons/3/32/K%C3%B6ppen-Geiger_Climate_Classification_Map_%281980%E2%80%932016%29_no_borders.png', 'https://upload.wikimedia.org/wikipedia/commons/d/d5/K%C3%B6ppen-Geiger_Climate_Classification_Map.png', 'https://upload.wikimedia.org/wikipedia/commons/a/a7/Traditional_classification_of_mixotrophic_protists.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/b/be/Crossed_wires.JPG', 'https://upload.wikimedia.org/wikipedia/commons/6/64/Short_Circuit_Current.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/dd/%E7%9F%AD%E7%B5%A1%28Short_circuit%29.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/b/be/Crossed_wires.JPG', 'https://upload.wikimedia.org/wikipedia/commons/6/64/Short_Circuit_Current.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/dd/%E7%9F%AD%E7%B5%A1%28Short_circuit%29.jpg']]"
0,What are the types of fossils and how are they formed?,"['the types', 'fossils', 'the types of fossils', 'they']","[['Object A', 'Object A'], ['Fossils', 'Fossils'], ['Fossils', 'Fossils'], ['Animals', 'Animals']]","[['https://upload.wikimedia.org/wikipedia/commons/e/ee/Papierkanten_--_2020_--_9535.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/29/Haltern_am_See%2C_Sythen%2C_Werkzeughalle_der_Quarzwerke_--_2015_--_5012.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/1/10/Perisphinctes_wartae_-_Museum_fur_Naturkunde%2C_Berlin_-_DSC00011.JPG', 'https://upload.wikimedia.org/wikipedia/commons/1/1a/Fossil_Diversity.png'], ['https://upload.wikimedia.org/wikipedia/commons/1/10/Perisphinctes_wartae_-_Museum_fur_Naturkunde%2C_Berlin_-_DSC00011.JPG', 'https://upload.wikimedia.org/wikipedia/commons/1/1a/Fossil_Diversity.png'], ['https://upload.wikimedia.org/wikipedia/commons/c/ce/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_33%29_BHL2458980.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e4/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_28%29_BHL2459063.jpg']]"
0,What are the main constellations in the night sky?,"['the main constellations', 'the night sky', 'the main constellations in the night sky']","[['Constellation', 'Constellation', 'Constellation'], ['Night sky', 'Night sky', 'Night sky'], ['Night sky', 'Night sky', 'Night sky']]","[['https://upload.wikimedia.org/wikipedia/commons/7/7a/ORI_uk.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Cellarius_southern_scenographic.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/08/Planisph%C3%A6ri_Coeleste_de_Wit.JPG'], ['https://upload.wikimedia.org/wikipedia/commons/5/52/Twilight_in_night_sky_V2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e4/Twilight_in_night_sky.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8b/Night_sky_and_rock_in_Tehran.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/5/52/Twilight_in_night_sky_V2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e4/Twilight_in_night_sky.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8b/Night_sky_and_rock_in_Tehran.jpg']]"
0,What is the role of the pancreas in digestion?,"['the role', 'the role of the pancreas in digestion', 'digestion', 'the pancreas']","[['Purposes', 'Purposes'], ['Pancreatic juice', 'Pancreatic juice'], ['Digestive tract', 'Digestive tract'], ['Pancreatic juice', 'Pancreatic juice']]","[['https://upload.wikimedia.org/wikipedia/commons/4/47/Deletion_intention_card.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/3a/Talk_intention_card.svg'], ['https://upload.wikimedia.org/wikipedia/commons/6/6e/Pancreas_secretion.png', 'https://upload.wikimedia.org/wikipedia/commons/e/eb/Gray_1100_Pancreatic_duct.png'], ['https://upload.wikimedia.org/wikipedia/commons/2/2c/Layers_of_the_GI_Tract_EDITED.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/09/Lungs_gall_bladder_liver_stomach_digestive_tract-extract.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/6/6e/Pancreas_secretion.png', 'https://upload.wikimedia.org/wikipedia/commons/e/eb/Gray_1100_Pancreatic_duct.png']]"
0,What are the types of clouds and their characteristics?,"['the types of clouds and their characteristics', 'the types', 'their characteristics', 'clouds']","[['Thunderstorms', 'Thunderstorms'], ['Object A', 'Object A'], ['Living beings', 'Force of gravity'], ['Sky', 'Natural diamonds']]","[['https://upload.wikimedia.org/wikipedia/commons/1/11/Electrical_storm_005a.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/19/Electrical_storm_001a.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/e/ee/Papierkanten_--_2020_--_9535.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/29/Haltern_am_See%2C_Sythen%2C_Werkzeughalle_der_Quarzwerke_--_2015_--_5012.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/2/2d/Rudolf_Steiner%27s_Apocalyptic_Seal_-_2_four_living_creatures.png', 'https://upload.wikimedia.org/wikipedia/commons/1/1e/Conservative_Force_Gravity_Example.svg'], ['https://upload.wikimedia.org/wikipedia/commons/4/4b/Cumulus_clouds_seen_from_10%2C000_meters_above_the_ground%2C_2010.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/02/ATHARVA_DIAMOND_MEASUREMENT_SIZE_DIAMOND_PRICE_DIAMOND_EXPORTER.jpg']]"
0,What is the role of the ozone layer?,"['the role', 'the role of the ozone layer', 'the ozone layer']","[['Purposes', 'Purposes', 'Purposes'], ['Ozone layer', 'Ozone layer', 'Ozone layer'], ['Ozone layer', 'Ozone layer', 'Ozone layer']]","[['https://upload.wikimedia.org/wikipedia/commons/4/47/Deletion_intention_card.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/3a/Talk_intention_card.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/ce/Edit_intention_card.svg'], ['https://upload.wikimedia.org/wikipedia/commons/2/28/Ozone_cycle.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/45/Tm-ozone-layer-05092021svg.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/53/Agujero_en_la_capa_de_ozono_2008.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/2/28/Ozone_cycle.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/45/Tm-ozone-layer-05092021svg.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/53/Agujero_en_la_capa_de_ozono_2008.jpg']]"
0,How does the human brain control the body?,"['the body', 'the human brain']","[['Human bodies', 'Human bodies', 'Human bodies', 'Human bodies', 'Human bodies'], ['Human Brain', 'Human Brain', 'Human Brain', 'Human Brain', 'Human Brain']]","[['https://upload.wikimedia.org/wikipedia/commons/f/fe/Human_Body_02.png', 'https://upload.wikimedia.org/wikipedia/commons/3/3b/201_Elements_of_the_Human_Body.02-bn.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b7/Male_back_3d-shaded_human_illustration.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7a/Male_front_3d-shaded_human_illustration.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/66/Female-male_front-back_3d-shaded_human_illustration.svg'], ['https://upload.wikimedia.org/wikipedia/commons/5/50/Computed_tomography_of_human_brain_-_large.png', 'https://upload.wikimedia.org/wikipedia/commons/e/e4/Human_brain._Wellcome_L0021193.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9a/Skull_and_brain_normal_human_ta.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8c/6_week_embryo_brain_ar.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6d/Brain_stem_normal_human.svg']]"
0,What are the main gases in the Earth's atmosphere?,"[""the Earth 's"", ""the Earth 's atmosphere"", 'the main gases', ""the main gases in the Earth 's atmosphere""]","[['The earth', 'The earth'], ['Atmosphere of the earth', 'Atmosphere of the earth'], ['Carbon dioxide gas', 'Carbon dioxide gas'], ['Atmosphere of the earth', 'Atmosphere of the earth']]","[['https://upload.wikimedia.org/wikipedia/commons/3/36/3d_earth_globe.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/BlackMarble_2016_rotating_globe_at_night_transparent.gif'], ['https://upload.wikimedia.org/wikipedia/commons/f/f9/Atmosphere_layers-en.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d5/Layers_of_the_Atmosphere_of_the_Earth-Persian.png'], ['https://upload.wikimedia.org/wikipedia/commons/2/26/Co2_carbon_dioxide_icon.png', 'https://upload.wikimedia.org/wikipedia/commons/2/20/Greenhouse_gas_trends.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/f/f9/Atmosphere_layers-en.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d5/Layers_of_the_Atmosphere_of_the_Earth-Persian.png']]"
0,What is the difference between a herb and a spice?,"['the difference', 'the difference between a herb and a spice', 'a herb', 'a spice', 'a herb and a spice']","[['Confusion', 'Confusion'], ['Herbs', 'Herbs'], ['Herbs', 'Herbs'], ['Food additive', 'Food additive'], ['Herbs', 'Herbs']]","[['https://upload.wikimedia.org/wikipedia/commons/b/b5/Noun_confusion_2900892.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7b/Noun_confusion_Delwar_781825.svg'], ['https://upload.wikimedia.org/wikipedia/commons/1/12/Herbs_Near_Klekovica.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/dd/African_Herbs_for_asthma.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/1/12/Herbs_Near_Klekovica.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/dd/African_Herbs_for_asthma.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/2/2d/Lecithin-Formulierungen.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d9/Polysorbate_80_Food_additive_E433.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/1/12/Herbs_Near_Klekovica.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/dd/African_Herbs_for_asthma.jpg']]"
0,How does the process of fermentation work?,"['the process', 'the process of fermentation', 'fermentation']","[['Systematic process', 'Systematic process', 'Systematic process'], ['Animals', 'Metabolic process', 'Metabolic process'], ['Ozone', 'Yeast', 'Yeast']]","[['https://upload.wikimedia.org/wikipedia/commons/c/ce/Flowchart_of_systematic_search_and_selection_process_for_an_umbrella_review_about_sugar_and_health.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/53/Comparative_zoology%2C_structural_and_systematic_-_for_use_in_schools_and_colleges_%281883%29_%2820677673251%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ed/Comparative_zoology%2C_structural_and_systematic_-_for_use_in_schools_and_colleges_%281883%29_%2820677770481%29.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/a/ae/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Crustacea._Pl._12%29_BHL2459226.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/22/ATP-3D-vdW.png', 'https://upload.wikimedia.org/wikipedia/commons/d/d4/Regulation_of_Lactose_Metabolism_in_Prokaryotes.svg'], ['https://upload.wikimedia.org/wikipedia/commons/7/7f/THC_2003.902.021_E._H._Johnston_Ozone_Production.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e3/Yeast_Cell_Diagram_Illustration.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e8/Bakers_yeast_wall-membrane2.jpg']]"
0,What are the main components of a cell?,"['the main components', 'a cell', 'the main components of a cell']","[['Electronic components', 'Electronic components', 'Electronic components'], ['Cell walls', 'Cell walls', 'Cell walls'], ['Cell biology', 'Cell biology', 'Cell biology']]","[['https://upload.wikimedia.org/wikipedia/commons/b/b0/Electronics_components_%288367300286%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1a/Electronics_components_%288267017346%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4d/Electronics_components_%288366232715%29.jpg'], ['https://upload.wikimedia.org/wikipedia/commons/2/24/Cell_wall_structure_of_Fungi.png', 'https://upload.wikimedia.org/wikipedia/commons/8/8e/Cyanobacteria_cell_envelope.webp', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/Bacterial_cell_structure.png'], ['https://upload.wikimedia.org/wikipedia/commons/a/a4/Normal_Cell_Life_Cycle.png', 'https://upload.wikimedia.org/wikipedia/commons/f/fe/RobertHookeMicrographia1665.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a1/Branching_morphogenesis_in_3D_cell_culture.jpg']]"
