,question,allennlp_entities,extracted_entities,image_urls
0,How do animals hibernate?,['animals'],"[['Animals', 'Animals', 'Animals', 'Animals', 'Animals', 'Animals', 'Animals', 'Animals', 'Animals', 'Animals']]","[['https://upload.wikimedia.org/wikipedia/commons/c/ce/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_33%29_BHL2458980.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e4/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_28%29_BHL2459063.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e7/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_23%29_BHL2459045.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_32%29_BHL2458986.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_31%29_BHL2459055.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d5/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_32%29_BHL2458988.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a7/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_24%29_BHL2459081.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ac/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_21%29_BHL2459035.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/75/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_25%29_BHL2459077.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7b/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_41%29_BHL2459150.jpg']]"
0,"What are the differences between herbivores, carnivores, and omnivores?","['the differences', 'the differences between herbivores , carnivores , and omnivores', 'omnivores', 'herbivores', 'herbivores , carnivores , and omnivores', 'carnivores']","[['Fauna', 'Fauna', 'Fauna', 'Cellular respiration', 'Insectivorous plant', 'Standard temperature', 'The earth', 'Herbivores', 'Herbivores', 'Herbivores']]","[['https://upload.wikimedia.org/wikipedia/commons/7/72/Fauna.png', 'https://upload.wikimedia.org/wikipedia/commons/a/a9/Flora_dan_Fauna_di.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/67/Alcal%C3%A1_de_Henares_%28RPS_01-05-2023%29_Corredor_ecofluvial_del_r%C3%ADo_Henares._Fauna%2C_cartel.png', 'https://upload.wikimedia.org/wikipedia/commons/8/8f/Respiration_scheme_--_great_tit_--_en.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/76/Drosera_anglica_ne2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Iberia%2C_EC-NTP%2C_Airbus_A320-251N.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d7/Earth_Flag_%282004%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/2c/Herbivores_%28band%29_04.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bc/Herbivores_on_the_savannah_%2843451139064%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Asclepias%2C_its_common_herbivores_and_defense_mechanisms.jpg']]"
0,What are the functions of the different types of teeth?,"['the functions of the different types of teeth', 'teeth', 'the functions', 'the different types of teeth', 'the different types']","[['Australian Plate', 'Human mouth', 'Human mouth', 'Tigers', 'Mouths', 'Mouths', 'Mouths', 'Mouths', 'Mouths', 'Mouths']]","[['https://upload.wikimedia.org/wikipedia/commons/c/cd/Placa_Australiana.png', 'https://upload.wikimedia.org/wikipedia/commons/c/c9/Adult_human_mouth_%28modified%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5e/3D_Medical_Animation_Oral_Cavity.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/84/Panthera_tigris_virgata.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ad/River_mouth_Sarcelle_river.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/47/%D0%9C%D1%96%D0%BA%D1%80%D0%BE%D1%84%D0%BB%D0%BE%D1%80%D0%B0_%D1%80%D0%BE%D1%82%D0%B0_%E2%84%961.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5e/River_mouth-low_tide_07.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c4/River_mouth-low_tide_04.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a8/Mouth_of_the_Souris_River%2C_Manitoba..jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5d/River_mouth_-_Sarcelle_-_left_bank.jpg']]"
0,What are the different types of simple machines?,"['the different types of simple machines', 'the different types', 'simple machines']","[['Short circuits', 'Short circuits', 'Short circuits', 'Short circuits', 'Short circuits', 'Short circuits', 'Leucippus', 'Portable generators', 'Portable generators', 'Portable generators']]","[['https://upload.wikimedia.org/wikipedia/commons/b/be/Crossed_wires.JPG', 'https://upload.wikimedia.org/wikipedia/commons/6/64/Short_Circuit_Current.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/dd/%E7%9F%AD%E7%B5%A1%28Short_circuit%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5d/Short_circuit_by_water_RJ45_PoE.JPG', 'https://upload.wikimedia.org/wikipedia/commons/f/fd/Court-circuit_A.PNG', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Kurzschluss_12V20A.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3b/Roman_-_Sarcophagus_Depicting_Castor_and_Pollux_Seizing_the_Daughters_of_Leucippus_-_Walters_2332_-_Left_Side.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7d/Portable_electrical_generator_angle.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/dc/2023-01-03_Portable_electrical_generators.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c9/ElectricalGeneratorGasoline.JPG']]"
0,What are the types of fossils and how are they formed?,"['they', 'the types of fossils', 'fossils', 'the types']","[['Fossils', 'Fossils', 'Fossils', 'Fossils', 'Fossils', 'Fossils', 'Fossils', 'Fossils', 'Fossils', 'Fossils']]","[['https://upload.wikimedia.org/wikipedia/commons/1/10/Perisphinctes_wartae_-_Museum_fur_Naturkunde%2C_Berlin_-_DSC00011.JPG', 'https://upload.wikimedia.org/wikipedia/commons/1/1a/Fossil_Diversity.png', 'https://upload.wikimedia.org/wikipedia/commons/7/76/Cardiidfossils.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/78/Whale_2261-2263mod.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/17/The_fossils_from_Cretaceous_age_found_in_Lebanon.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3b/Marine_fossils%2C_Desert_Museum_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/ba/Fossils_from_the_middle_Ordovician.png', 'https://upload.wikimedia.org/wikipedia/commons/5/54/Marine_fossils_at_%22El_Madro%C3%B1o%22_-_Landa_de_Matamoros%2C_Mexico.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9e/Desert_Museum%2C_fossils_1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/69/Marine_fossils%2C_Desert_Museum_1.jpg']]"
0,What are the main constellations in the night sky?,"['the main constellations', 'the night sky', 'the main constellations in the night sky']","[['Sky', 'Causes of earthquakes', 'Night sky', 'Night sky', 'Night sky', 'Night sky', 'Night sky', 'Night sky', 'Night sky', 'Night sky']]","[['https://upload.wikimedia.org/wikipedia/commons/4/4b/Cumulus_clouds_seen_from_10%2C000_meters_above_the_ground%2C_2010.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/48/Turkey_Earthquake_NDRF_equipment_being_loaded_into_C-17.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/52/Twilight_in_night_sky_V2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e4/Twilight_in_night_sky.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8b/Night_sky_and_rock_in_Tehran.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/97/Night_Sky%2C_Early_September_2021.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c9/Funny_face_in_the_night_sky._Brisbane%2C_1st_December_2008_%283073572829%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b7/Twilight_with_moon.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a3/Night_Sky_Map_September_2017_Malayalam.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4b/British_Night_Sky_%286965600385%29.jpg']]"
0,What is the role of the pancreas in digestion?,"['the role of the pancreas in digestion', 'digestion', 'the role', 'the pancreas']","[['Digestive tract', 'Digestive tract', 'Digestive tract', 'Digestive tract', 'Digestive tract', 'Digestive tract', 'Digestive tract', 'Digestive tract', 'Digestive tract', 'Digestive tract']]","[['https://upload.wikimedia.org/wikipedia/commons/2/2c/Layers_of_the_GI_Tract_EDITED.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/09/Lungs_gall_bladder_liver_stomach_digestive_tract-extract.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/92/EB1911_Alimentary_Canal_Fig._6.%E2%80%94Intestinal_Tract_of_Macropus_bennetti.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/35/Digestive_tract_diagram.png', 'https://upload.wikimedia.org/wikipedia/commons/d/d8/Layers_of_the_GI_Tract_es.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a3/Additional_observations_on_the_morphology_of_the_digestive_tract_of_the_cat_%281900%29_%2816771792972%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b9/Ramulus_artemis_-_Digestive_tract.tif', 'https://upload.wikimedia.org/wikipedia/commons/a/a2/Additional_observations_on_the_morphology_of_the_digestive_tract_of_the_cat_%281900%29_%2816771791572%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/cb/Additional_observations_on_the_morphology_of_the_digestive_tract_of_the_cat_%281900%29_%2816771790982%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5c/Additional_observations_on_the_morphology_of_the_digestive_tract_of_the_cat_%281900%29_%2816585474120%29.jpg']]"
0,What are the types of clouds and their characteristics?,"['their characteristics', 'clouds', 'the types of clouds and their characteristics', 'the types']","[['Sky', 'Electricity generation', 'Thunderstorm', 'Thunderstorm', 'Thunderstorm', 'Thunderstorm', 'Natural diamonds', 'Vaccinations', 'Thunderstorms', 'Thunderstorms']]","[['https://upload.wikimedia.org/wikipedia/commons/4/4b/Cumulus_clouds_seen_from_10%2C000_meters_above_the_ground%2C_2010.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/81/New_Mexico_Electricity_Generation_Sources_Pie_Chart.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/82/Lightning_Pritzerbe_01_%28MK%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e9/Thunderstorm_symbol.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d8/Lightning_storm_over_Berlin_-_Flickr_-_Matt_Biddulph.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/89/Rotating_Thunderstorm_Updraft.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/02/ATHARVA_DIAMOND_MEASUREMENT_SIZE_DIAMOND_PRICE_DIAMOND_EXPORTER.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/37/USAID_vaccinations_of_asian_girls.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/11/Electrical_storm_005a.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/19/Electrical_storm_001a.jpg']]"
0,What is the role of the ozone layer?,"['the ozone layer', 'the role', 'the role of the ozone layer']","[['Ozone layer', 'Ozone layer', 'Ozone layer', 'Ozone layer', 'Ozone layer', 'Ozone layer', 'Ozone layer', 'Ozone layer', 'Ozone layer', 'Ozone layer']]","[['https://upload.wikimedia.org/wikipedia/commons/2/28/Ozone_cycle.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/45/Tm-ozone-layer-05092021svg.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/53/Agujero_en_la_capa_de_ozono_2008.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3e/N2O_Protoxyde_d%27azote_Nitrous_Oxide_%C3%A9volution_sur_260_ans_selon_AEE_de_1750_%C3%A0_2020.png', 'https://upload.wikimedia.org/wikipedia/commons/1/16/Ozone_cfc_trends.png', 'https://upload.wikimedia.org/wikipedia/commons/0/07/Atmospheric_ozone_es.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/1d/Ozone_cycle-gu.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ec/Atmospheric_ozone.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4d/Ozone_hole_recovery.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b0/Atmospheric_ozone_ukr.svg']]"
0,How does the human brain control the body?,"['the body', 'the human brain']","[['Human Brain', 'Human Brain', 'Human Brain', 'Human Brain', 'Human Brain', 'Human Brain', 'Human Brain', 'Human Brain', 'Human Brain', 'Human Brain']]","[['https://upload.wikimedia.org/wikipedia/commons/5/50/Computed_tomography_of_human_brain_-_large.png', 'https://upload.wikimedia.org/wikipedia/commons/e/e4/Human_brain._Wellcome_L0021193.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9a/Skull_and_brain_normal_human_ta.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8c/6_week_embryo_brain_ar.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6d/Brain_stem_normal_human.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b3/Vertebrate-brain-regions.png', 'https://upload.wikimedia.org/wikipedia/commons/2/24/Vertebrate-brain-regions_small_hy.png', 'https://upload.wikimedia.org/wikipedia/commons/b/be/Vertebrate-brain-regions_small.png', 'https://upload.wikimedia.org/wikipedia/commons/c/cb/Skull_brain_human_normal.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c6/L%27anotomia_del_corpo_umano_25.png']]"
0,What are the main gases in the Earth's atmosphere?,"[""the Earth 's"", ""the Earth 's atmosphere"", 'the main gases', ""the main gases in the Earth 's atmosphere""]","[['Atmosphere of Earth', 'Atmosphere of Earth', 'Atmosphere of Earth', 'Atmosphere of Earth', 'Atmosphere of Earth', 'Extrusive rocks', 'Atmosphere of the earth', 'Atmosphere of the earth', 'Atmosphere of the earth', 'Atmosphere of the earth']]","[['https://upload.wikimedia.org/wikipedia/commons/9/93/Earth_Atmosphere_%28%E0%A6%AA%E0%A7%83%E0%A6%A5%E0%A6%BF%E0%A6%AC%E0%A7%80%E0%A6%B0_%E0%A6%AC%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A7%81%E0%A6%AE%E0%A6%A3%E0%A7%8D%E0%A6%A1%E0%A6%B2%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/59/Atmosphere_layers%2C_temperature_and_airborne_emission_sources.png', 'https://upload.wikimedia.org/wikipedia/commons/2/25/Astronomy%3B_a_section_through_the_earth%2C_showing_the_atmosphere_Wellcome_V0024723.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/59/Venus-Mars-Earth-Atmosphere-rus.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b5/Zuurstofcrisis_or_Great_Oxidation_Event.png', 'https://upload.wikimedia.org/wikipedia/commons/2/24/Gabbronorite_%28%22Impala_Black_Granite%22%29_%28Bushveld_Complex%2C_2.054-2.061_Ga%2C_Paleoproterozoic%3B_north_of_Rustenburg%2C_North_West_Province%2C_South_Africa%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f9/Atmosphere_layers-en.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d5/Layers_of_the_Atmosphere_of_the_Earth-Persian.png', 'https://upload.wikimedia.org/wikipedia/commons/b/be/Earth_Atmosphere_pl.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/Earth_Atmosphere-fr.svg']]"
0,What is the difference between a herb and a spice?,"['the difference between a herb and a spice', 'a herb and a spice', 'a spice', 'the difference', 'a herb']","[['Herbs', 'Herbs', 'Herbs', 'Herbs', 'Assam', 'Botanical garden', 'Botanical garden', 'Botanical garden', 'Phylogeny', 'Plants']]","[['https://upload.wikimedia.org/wikipedia/commons/1/12/Herbs_Near_Klekovica.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/dd/African_Herbs_for_asthma.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/M%C3%BCnster%2C_Wochenmarkt_--_2015_--_7402.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Aneka_rempah_dan_bumbu_dapur.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9f/Assam_in_India_%28claimed_and_disputed_hatched%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/2a/Botanical_Garden%2C_Moscow.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/51/Hortus_Botanicus_Amsterdam._%28actm.%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/49/Brooklyn_Botanic_Garden_New_York_May_2015_panorama_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7c/Phylogenetic_tree_based_on_the_mitochondrial_sequences_%28COI%2C_658_bp%29_of_specimens_identified_as_Simulium_dentulosum_and_Simulium_vorax_from_Kakoi-Koda_Focus.tif', 'https://upload.wikimedia.org/wikipedia/commons/3/31/Diversity_of_plants_%28Streptophyta%29_version_2.png']]"
0,How does the process of fermentation work?,"['the process of fermentation', 'fermentation', 'the process']","[['Systematic process', 'Systematic process', 'Systematic process', 'Systematic process', 'Systematic process', 'Systematic process', 'Systematic process', 'Systematic process', 'Systematic process', 'Systematic process']]","[['https://upload.wikimedia.org/wikipedia/commons/c/ce/Flowchart_of_systematic_search_and_selection_process_for_an_umbrella_review_about_sugar_and_health.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/53/Comparative_zoology%2C_structural_and_systematic_-_for_use_in_schools_and_colleges_%281883%29_%2820677673251%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ed/Comparative_zoology%2C_structural_and_systematic_-_for_use_in_schools_and_colleges_%281883%29_%2820677770481%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/84/Comparative_zoology%2C_structural_and_systematic_-_for_use_in_schools_and_colleges_%281883%29_%2820048324904%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0d/Comparative_zoology%2C_structural_and_systematic_-_for_use_in_schools_and_colleges_%281883%29_%2820049851783%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a2/Comparative_zoology%2C_structural_and_systematic_-_for_use_in_schools_and_colleges_%281883%29_%2820670890655%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/77/The_international_encyclopaedia_of_surgery%3B_a_systematic_treatise_on_the_theory_and_practice_of_surgery_%281881%29_%2814777095571%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/da/Scientists_in_the_processing_of_DNA_sequences._Institute_of_Systematics_and_Evolution_of_Animals_Polish_Academy_of_Sciences_in_Cracov.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3a/PRISMA_flow_diagram_showing_inclusion_process_of_studies_for_a_review_comparing_efficacies_of_interventions_in_reducing_belief_in_conspiracy_theories.png', 'https://upload.wikimedia.org/wikipedia/commons/c/c0/Revue_syst%C3%A9matique.png']]"
0,What are the main components of a cell?,"['a cell', 'the main components', 'the main components of a cell']","[['Cell walls', 'Cell walls', 'Cell walls', 'Cell walls', 'Cell walls', 'Cell walls', 'Cell walls', 'Cell walls', 'Cell walls', 'Cell walls']]","[['https://upload.wikimedia.org/wikipedia/commons/2/24/Cell_wall_structure_of_Fungi.png', 'https://upload.wikimedia.org/wikipedia/commons/8/8e/Cyanobacteria_cell_envelope.webp', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/Bacterial_cell_structure.png', 'https://upload.wikimedia.org/wikipedia/commons/5/52/Gram-Cell-wall.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7c/Eukaryota_cell_strucutre.PNG', 'https://upload.wikimedia.org/wikipedia/commons/6/6b/Cell_wall_composition_of_Gram-positive_and_Gram-negative_bacteria.webp', 'https://upload.wikimedia.org/wikipedia/commons/c/c7/Gram_negative_cell_wall-cs.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/9a/Plant_cell_wall_diagram-hi.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e9/Drawing_of_Cell_Wall.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5e/Penempatan_dinding_sel_tumbuhan_dan_bagiannya.png']]"
0,How does the human ear detect sound?,"['sound', 'the human ear']","[['sound', 'sound', 'sound', 'sound', 'sound', 'sound', 'sound', 'sound', 'sound', 'sound']]","[['https://upload.wikimedia.org/wikipedia/commons/0/0a/Sands_of_Sound_from_the_Ness_of_Sound_-_geograph.org.uk_-_3751336.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6d/QueenCharlotteSound01LB.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/10/Processing_of_sound-ca.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a9/Reid%E2%80%A2Rambles%C2%B7on%C2%B7the%C2%B7Golden%C2%B7Coast%E2%80%A21886%E2%80%A2117%E2%80%A2Illustration--Dusky%C2%B7Sound%C2%B7%28p088%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/31/Processing_of_sound.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/51/Reid%E2%80%A2Rambles%C2%B7on%C2%B7the%C2%B7Golden%C2%B7Coast%E2%80%A21886%E2%80%A2043%E2%80%A2Illustration--George%C2%B7Sound%C2%B7%28p028%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5e/M%C2%B3_%28the_sound_in_between_invisible_and_visible%29%2C_64m%C2%B3_%282017%29%2C_Sound_Room_%40Asia_Culture_Center%2C_GRAYCODE%28Taebok_Cho%29.png', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/3D_sound_localization_of_a_large_compressor.png', 'https://upload.wikimedia.org/wikipedia/commons/2/2d/Puget_Sound_Basin.gif', 'https://upload.wikimedia.org/wikipedia/commons/9/90/OpSound_Logo.jpg']]"
0,What is the process of diffusion in cells?,"['cells', 'diffusion', 'the process of diffusion in cells', 'the process']","[['Louis Braille', 'Living cells', 'Living cells', 'Living cells', 'Living cells', 'Living cells', 'Living cells', 'Living cells', 'Living cells', 'Living cells']]","[['https://upload.wikimedia.org/wikipedia/commons/2/2d/20061009150DR_Dresden_Radeberger_34_Ecke_Louis-Braille-Str_10.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/18/RsEGFP2-enables-fast-RESOLFT-nanoscopy-of-living-cells-elife00248f001.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9a/RsEGFP2-enables-fast-RESOLFT-nanoscopy-of-living-cells-elife00248f002.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/26/RsEGFP2-enables-fast-RESOLFT-nanoscopy-of-living-cells-elife00248fs005.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/29/RsEGFP2-enables-fast-RESOLFT-nanoscopy-of-living-cells-elife00248fs003.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d1/RsEGFP2-enables-fast-RESOLFT-nanoscopy-of-living-cells-elife00248fs006.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/cd/RsEGFP2-enables-fast-RESOLFT-nanoscopy-of-living-cells-elife00248fs002.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b7/RsEGFP2-enables-fast-RESOLFT-nanoscopy-of-living-cells-elife00248fs007.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/61/RsEGFP2-enables-fast-RESOLFT-nanoscopy-of-living-cells-elife00248fs004.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ad/RsEGFP2-enables-fast-RESOLFT-nanoscopy-of-living-cells-elife00248fs001.jpg']]"
0,How do animals communicate through body language?,"['body language', 'animals']","[['Animals', 'Animals', 'Animals', 'Animals', 'Animals', 'Animals', 'Animals', 'Animals', 'Animals', 'Animals']]","[['https://upload.wikimedia.org/wikipedia/commons/c/ce/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_33%29_BHL2458980.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e4/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_28%29_BHL2459063.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e7/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_23%29_BHL2459045.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_32%29_BHL2458986.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_31%29_BHL2459055.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d5/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_32%29_BHL2458988.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a7/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_24%29_BHL2459081.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ac/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_21%29_BHL2459035.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/75/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_25%29_BHL2459077.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7b/The_animal_kingdom%2C_arranged_according_to_its_organization%2C_serving_as_a_foundation_for_the_natural_history_of_animals_%28Plate_41%29_BHL2459150.jpg']]"
